DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	REGION	CHR_ID	CHR_POS	REPORTED.GENE.S.	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST.SNP.RISK.ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK.ALLELE.FREQUENCY	P.VALUE	PVALUE_MLOG	P.VALUE..TEXT.	OR.or.BETA	X95..CI..TEXT.	PLATFORM..SNPS.PASSING.QC.	CNV
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	19p13.3	19	1124836	GPX4, SBNO2	SBNO2, SBNO2			ENSG00000064932, ENSG00000278788	NA	NA	rs740495-G	rs740495	0	740495	intron_variant	0	0.247	8e-12	11.0969100130081		1.16	[1.10-1.21]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2p23.3	2	27519736	GCKR	GCKR			ENSG00000084734	NA	NA	rs780093-T	rs780093	0	780093	intron_variant	0	0.418	5e-11	10.301029995664		1.15	[1.10-1.21]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2q37.1	2	230252159	SP140	SP140			ENSG00000079263	NA	NA	rs7423615-T	rs7423615	0	7423615	intron_variant	0	0.187	3e-13	12.5228787452803		1.12	[1.07-1.18]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	15q22.33	15	67150258	SMAD3	SMAD3			ENSG00000166949	NA	NA	rs17293632-T	rs17293632	0	17293632	intron_variant	0	0.233	3e-19	18.5228787452803		1.12	[1.07-1.16]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	11q12.2	11	61790331	FADS1	TMEM258			ENSG00000134825	NA	NA	rs102275-C	rs102275	0	102275	non_coding_transcript_exon_variant	0	0.341	2e-11	10.698970004336		1.08	[1.04-1.12]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q22	1	155260340	SCAMP3, MUC1	SCAMP3			ENSG00000116521	NA	NA	rs3180018-A	rs3180018	1	1142287	synonymous_variant	0	0.25	2e-13	12.698970004336		1.13	[1.06-1.19]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2p23.3	2	25269598	DNMT3A	DNMT3A			ENSG00000119772	NA	NA	rs13428812-G	rs13428812	0	13428812	intron_variant	0	0.326	9e-10	9.04575749056067		1.06	[1.03-1.10]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	12q12	12	40398498	MUC19, LRRK2	MUC19, AC107023.1			ENSG00000205592, ENSG00000258167	NA	NA	rs11564258-A	rs11564258	0	11564258	intron_variant	0	0.025	6e-21	20.2218487496164		1.74	[1.55-1.95]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	22q12.2	22	30196498	MTMR3	AC002378.1			ENSG00000225676	NA	NA	rs713875-C	rs713875	0	713875	intron_variant	0	0.471	7e-12	11.1549019599857		1.08	[1.04-1.13]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	5q35.2	5	173852839	CPEB4	LINC01485 - CPEB4	ENSG00000254211	ENSG00000113742		43800	35510	rs359457-T	rs359457	0	359457	intergenic_variant	1	0.571	3e-12	11.5228787452803		1.08	[1.04-1.12]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	17q21.2	17	42418754	STAT3, MLX	CAVIN1			ENSG00000177469	NA	NA	rs11871801-A	rs11871801	0	11871801	intron_variant	0	0.756	3e-08	7.52287874528034		1.15	[1.10-1.21]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	6q27	6	166993145	CCR6	Z94721.1			ENSG00000227598	NA	NA	rs415890-C	rs415890	0	415890	intron_variant	0	0.522	3e-12	11.5228787452803		1.17	[1.12-1.22]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	9q34.3	9	136372044	CARD9, SNAPC4	CARD9			ENSG00000187796	NA	NA	rs4077515-T	rs4077515	0	4077515	missense_variant	0	0.411	1e-36	36		1.18	[1.13-1.22]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2p16.1	2	60997124	REL, C2orf74	PUS10			ENSG00000162927	NA	NA	rs10181042-T	rs10181042	0	10181042	intron_variant	0	0.42	7e-09	8.15490195998574		1.14	[1.09-1.19]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q32.1	1	200908434	C1orf106, KIF21B	INAVA			ENSG00000163362	NA	NA	rs7554511-C	rs7554511	0	7554511	intron_variant	0	0.726	2e-07	6.69897000433602		1.14	[1.08-1.19]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	9p24.1	9	4981602	JAK2	HNRNPA1P41 - JAK2	ENSG00000220937	ENSG00000096968		35700	2788	rs10758669-C	rs10758669	0	10758669	intergenic_variant	1	0.349	1e-13	13		1.18	[1.13-1.23]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	5q33.1	5	150890858	IRGM	IRGM			ENSG00000237693	NA	NA	rs7714584-G	rs7714584	0	7714584	intron_variant	0	0.088	8e-19	18.0969100130081		1.37	[1.28-1.47]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	10p15.1	10	6060049	IL2RA	IL2RA			ENSG00000134460	NA	NA	rs12722489-C	rs12722489	0	12722489	intron_variant	0	0.852	3e-09	8.52287874528034		1.11	[1.05-1.16]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	10q21.2	10	62685804	ZNF365	AC067751.1			ENSG00000238280	NA	NA	rs10761659-G	rs10761659	0	10761659	intron_variant	0	0.538	4e-22	21.397940008672		1.23	[1.18-1.29]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1p31.3	1	67240275	IL23R	IL23R			ENSG00000162594	NA	NA	rs11209026-G	rs11209026	0	11209026	missense_variant	0	0.932	1e-64	64		2.66	[2.36-3.00]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2q12.1	2	102437989	IL12RL2, IL18R1, IL1RL1, IL18RAP	IL18RAP			ENSG00000115607	NA	NA	rs2058660-G	rs2058660	0	2058660	intron_variant	0	0.231	2e-12	11.698970004336		1.19	[1.14-1.26]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	22q11.21	22	21574352	YDJC	UBE2L3			ENSG00000185651	NA	NA	rs181359-T	rs181359	0	181359	intron_variant	0	0.203	5e-16	15.301029995664		1.1	[1.06-1.15]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1p36.23	1	7819003	VAMP3	PER3, Z98884.1			ENSG00000049246, ENSG00000236266	NA	NA	rs2797685-A	rs2797685	0	2797685	intron_variant	0	0.19	7e-09	8.15490195998574		1.05	[1.01-1.10]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	19p13.2	19	10359299	ICAM3, TYK2, ICAM1	TYK2			ENSG00000105397	NA	NA	rs12720356-G	rs12720356	0	12720356	missense_variant	0	0.084	1e-12	12		1.12	[1.06-1.19]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	7p12.2	7	50264865	ZPBP, IKZF1, FIGNL1	AC020743.2 - AC020743.3	ENSG00000231681	ENSG00000235620		1871	9925	rs1456896-T	rs1456896	0	1456896	regulatory_region_variant	1	0.69	1e-08	8		1.14	[1.09-1.20]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	9q32	9	114790605	TNFSF8, TNFSF15	TNFSF15			ENSG00000181634	NA	NA	rs3810936-C	rs3810936	0	3810936	synonymous_variant	0	0.682	1e-15	15		1.21	[1.15-1.27]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	17q21.1	17	39884510	IKZF3, GSMDL, ZPBP2, ORMDL3	ZPBP2 - GSDMB	ENSG00000186075	ENSG00000073605		6614	20085	rs2872507-A	rs2872507	0	2872507	intergenic_variant	1	0.458	2e-09	8.69897000433602		1.14	[1.09-1.19]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	2p21	2	43579779	THADA	THADA			ENSG00000115970	NA	NA	rs10495903-T	rs10495903	0	10495903	intron_variant	0	0.129	2e-14	13.698970004336		1.14	[1.09-1.20]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	6q25.3	6	159069404	TAGAP	AL035530.1, AL035530.2, AL356417.3			ENSG00000226032, ENSG00000271913, ENSG00000285492	NA	NA	rs212388-G	rs212388	0	212388	intron_variant	0	0.393	2e-11	10.698970004336		1.1	[1.05-1.14]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	14q31.3	14	88006251	GALC, GPR65	GPR65			ENSG00000140030	NA	NA	rs8005161-T	rs8005161	0	8005161	intron_variant	0	0.119	4e-18	17.397940008672		1.23	[1.16-1.31]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	19q13.33	19	48711017	FUT2, RASIP1	FUT2 - MAMSTR	ENSG00000176920	ENSG00000176909		5066	1708	rs281379-A	rs281379	0	281379	intergenic_variant	1	0.487	7e-12	11.1549019599857		1.07	[1.04-1.11]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	5q31.1	5	132448701	IL3, IRF1, SLC22A5, SLC22A4	C5orf56, AC116366.3			ENSG00000197536, ENSG00000283782	NA	NA	rs12521868-T	rs12521868	0	12521868	intron_variant	0	0.422	1e-20	20		1.23	[1.18-1.28]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	5q15	5	96908845	ERAP2, LRAP	AC009126.1, ERAP2			ENSG00000247121, ENSG00000164308	NA	NA	rs2549794-C	rs2549794	0	2549794	intron_variant	0	0.409	1e-10	10		1.05	[1.02-1.09]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	20q13.33	20	63718234	SLC2A4RG, TNFRS-F6B, RTEL1	AL121845.3, ZGPAT			ENSG00000273154, ENSG00000197114	NA	NA	rs4809330-G	rs4809330	0	4809330	intron_variant	0	0.709	3e-15	14.5228787452803		1.12	[1.06-1.18]	Affymetrix, Illumina [953241] (imputed)	N
